naux-learn-corpus-v1
id	topic	difficulty	implementation	source	input	expected
sum-array	basics	intro	source-basic	solutions/01-sum-array.nx	fixtures/01-sum-array.in	fixtures/01-sum-array.out
max-array	basics	intro	source-basic	solutions/02-max-array.nx	fixtures/02-max-array.in	fixtures/02-max-array.out
count-even	basics	intro	source-basic	solutions/03-count-even.nx	fixtures/03-count-even.in	fixtures/03-count-even.out
reverse-array	basics	intro	source-basic	solutions/04-reverse-array.nx	fixtures/04-reverse-array.in	fixtures/04-reverse-array.out
factorial	math	intro	source-basic	solutions/05-factorial.nx	fixtures/05-factorial.in	fixtures/05-factorial.out
fibonacci	math	intro	source-basic	solutions/06-fibonacci.nx	fixtures/06-fibonacci.in	fixtures/06-fibonacci.out
gcd-euclid	math	intermediate	source-basic	solutions/07-gcd-euclid.nx	fixtures/07-gcd-euclid.in	fixtures/07-gcd-euclid.out
prime-check	math	intermediate	source-basic	solutions/08-prime-check.nx	fixtures/08-prime-check.in	fixtures/08-prime-check.out
linear-search	search	intro	source-algorithm	solutions/09-linear-search.nx	fixtures/09-linear-search.in	fixtures/09-linear-search.out
binary-search	search	intermediate	source-algorithm	solutions/10-binary-search.nx	fixtures/10-binary-search.in	fixtures/10-binary-search.out
first-occurrence	search	intermediate	source-algorithm	solutions/11-first-occurrence.nx	fixtures/11-first-occurrence.in	fixtures/11-first-occurrence.out
prefix-range-sum	search	intermediate	source-algorithm	solutions/12-prefix-range-sum.nx	fixtures/12-prefix-range-sum.in	fixtures/12-prefix-range-sum.out
bubble-sort	sorting	intro	source-algorithm	solutions/13-bubble-sort.nx	fixtures/13-bubble-sort.in	fixtures/13-bubble-sort.out
selection-sort	sorting	intermediate	source-algorithm	solutions/14-selection-sort.nx	fixtures/14-selection-sort.in	fixtures/14-selection-sort.out
insertion-sort	sorting	intermediate	source-algorithm	solutions/15-insertion-sort.nx	fixtures/15-insertion-sort.in	fixtures/15-insertion-sort.out
counting-sort	sorting	intermediate	source-algorithm	solutions/16-counting-sort.nx	fixtures/16-counting-sort.in	fixtures/16-counting-sort.out
bfs-matrix	graph	intermediate	source-algorithm	solutions/17-bfs-matrix.nx	fixtures/17-bfs-matrix.in	fixtures/17-bfs-matrix.out
dfs-matrix	graph	intermediate	source-algorithm	solutions/18-dfs-matrix.nx	fixtures/18-dfs-matrix.in	fixtures/18-dfs-matrix.out
shortest-unweighted	graph	intermediate	source-algorithm	solutions/19-shortest-unweighted.nx	fixtures/19-shortest-unweighted.in	fixtures/19-shortest-unweighted.out
dijkstra-matrix	graph	advanced	source-algorithm	solutions/20-dijkstra-matrix.nx	fixtures/20-dijkstra-matrix.in	fixtures/20-dijkstra-matrix.out
connected-components	graph	intermediate	source-algorithm	solutions/21-connected-components.nx	fixtures/21-connected-components.in	fixtures/21-connected-components.out
topological-sort	graph	advanced	source-algorithm	solutions/22-topological-sort.nx	fixtures/22-topological-sort.in	fixtures/22-topological-sort.out
coin-change-greedy	greedy	intro	source-algorithm	solutions/23-coin-change-greedy.nx	fixtures/23-coin-change-greedy.in	fixtures/23-coin-change-greedy.out
interval-scheduling	greedy	intermediate	source-algorithm	solutions/24-interval-scheduling.nx	fixtures/24-interval-scheduling.in	fixtures/24-interval-scheduling.out
max-items-budget	greedy	intermediate	source-algorithm	solutions/25-max-items-budget.nx	fixtures/25-max-items-budget.in	fixtures/25-max-items-budget.out
knapsack-01	dynamic-programming	advanced	source-algorithm	solutions/26-knapsack-01.nx	fixtures/26-knapsack-01.in	fixtures/26-knapsack-01.out
coin-change-min	dynamic-programming	intermediate	source-algorithm	solutions/27-coin-change-min.nx	fixtures/27-coin-change-min.in	fixtures/27-coin-change-min.out
lis-quadratic	dynamic-programming	advanced	source-algorithm	solutions/28-lis-quadratic.nx	fixtures/28-lis-quadratic.in	fixtures/28-lis-quadratic.out
grid-paths	dynamic-programming	intermediate	source-algorithm	solutions/29-grid-paths.nx	fixtures/29-grid-paths.in	fixtures/29-grid-paths.out
subset-sum	dynamic-programming	advanced	source-algorithm	solutions/30-subset-sum.nx	fixtures/30-subset-sum.in	fixtures/30-subset-sum.out
